Title,CategoryName,Address,Neighborhood,Street,City,State,CountryCode,Website,Phone,Location,PlusCode
Izvorno,Winery,"M5, North Macedonia",null,M5,null,null,MK,null,+389 77 901 169,"41.6038007, 21.6928107","JM3V+G4 Dolno Vranovtsi, North Macedonia"
"Winery ""Movino""",Winery,"GXC7+HVF, MK, Industriska BB, Rosoman 1422, North Macedonia",null,"GXC7+HVF, MK, Industriska BB",Rosoman,null,MK,http://www.movino.mk/,+389 43 400 731,"41.5214442, 21.9646746",null
Ezimit,Winery,"Ul. Bregalnicka 64a, Shtip, North Macedonia",null,Ul. Bregalnicka 64a,Shtip,null,MK,http://www.ezimit.mk/,+389 32 387 809,"41.7755648, 22.18112","Q5GJ+6C Shtip, North Macedonia"
Angelovski Villa,Winery,null,null,null,null,null,null,null,+389 70 389 484,"41.6137143, 21.7432336",null
Brzanov,Winery,"ul 1 br. 4 MK, Trubarevo 1047, North Macedonia",null,ul 1 br. 4 MK,Trubarevo,null,MK,http://www.brzanov.mk/,+389 75 406 116,"41.9856456, 21.5171839","XGP8+7V Trubarevo, North Macedonia"
"Winery ""Kartal""",Winery,"ul.1519 br.7 Skopje MK, 1000, North Macedonia",Kisela Voda,ul.1519 br.7 Skopje MK,Skopje,null,MK,http://www.kartal.com.mk/,+389 70 242 419,"41.962434, 21.4763996","XF6G+XH Skopje, North Macedonia"
Bela Voda - Tikves Winery Vineyadrs,Vineyard,"QQXC+GVP, Sojaklari, North Macedonia",null,QQXC+GVP,Sojaklari,null,MK,http://www.tikves.com.mk/,null,"41.7988315, 21.7721987",null
"Winery ""Kamnik""",Winery,"Kamnik bb Skopje MK, 1000, North Macedonia",null,Kamnik bb Skopje MK,null,null,MK,http://www.chateaukamnik.com/,+389 2 252 1789,"42.0077507, 21.4902834","2F5R+44 Skopje, North Macedonia"
Tristo,Winery,"QQQR+GCP, Otovica Sujaklari, Sojaklari, North Macedonia",null,"QQQR+GCP, Otovica Sujaklari",Sojaklari,null,MK,null,+389 43 212 065,"41.7888443, 21.7910901",null
Kocev Family Wines,Winery,"Prohor Pcinski, Veles, North Macedonia",null,Prohor Pcinski,Veles,null,MK,null,+389 72 245 483,"41.7096692, 21.787771","PQ5Q+V4 Veles, North Macedonia"
"Winery ""Chateau Sopot""",Winery,"MK, Veles 1400, North Macedonia",null,MK,Veles,null,MK,https://www.facebook.com/chateausopotmacedonia/,+389 78 663 300,"41.7777559, 21.7409903","QPHR+49 Veles, North Macedonia"
OldSchoolWinery,Winery,"Lake Mladost Veles MK, 1400, North Macedonia",null,Lake Mladost Veles MK,null,null,MK,https://m.facebook.com/OldSchoolWinery2020/,+389 75 355 900,"41.7736154, 21.767121","QQF8+CR Otovitsa, North Macedonia"
Kievo Winery,Winery,null,null,null,null,null,null,null,+389 78 420 672,"41.7449384, 22.1913421",null
"Winery ""Stefan""",Winery,"Boulevard Macedonia 2, Kavadarci, North Macedonia",null,Boulevard Macedonia 2,Kavadarci,null,MK,null,+389 43 420 412,"41.438669, 22.001734","C2Q2+FM Kavadarci, North Macedonia"
"Winery ""Venec""",Winery,"s Dolni Disan, Negotino 1443, North Macedonia",null,s Dolni Disan,Negotino,null,MK,http://venec.mk/,+389 43 369 200,"41.433904, 22.092974","C3MV+H5 Dolni Disan, North Macedonia"
Jakovlevski winery,Winery,"4th of July 16, Kavadarci 1430, North Macedonia",null,4th of July 16,Kavadarci,null,MK,null,null,"41.4380905, 22.0098042","C2Q5+6W Kavadarci, North Macedonia"
"Winery ""Stobi""",Winery,"Avtopat b.b., Gradsko 1400, North Macedonia",null,Avtopat b.b.,Gradsko,null,MK,http://stobiwinery.mk/,+389 78 221 427,"41.5812326, 21.9362267","HWJP+FF Gradsko, North Macedonia"
"Winery ""Lazar""",Winery,"Naseleno mesto bez ulicen sistem MK, Stobi, Palikura 1422, North Macedonia",null,"Naseleno mesto bez ulicen sistem MK, Stobi",Palikura,null,MK,http://www.lazarwinery.mk/,+389 71 281 566,"41.546456, 21.9724705","GXWC+HX Palikura, North Macedonia"
Ivanov Winery,Winery,"MK MK, Igman 11, Kavadarci 1430, North Macedonia",null,"MK MK, Igman 11",Kavadarci,null,MK,null,+389 75 350 084,"41.4358661, 22.0053509","C2P4+84 Kavadarci, North Macedonia"
Imako Vino Winery,Winery,"M5X4+MX, 6th km local road Stip-Radovis MK, Sofilari 2000, North Macedonia",null,"M5X4+MX, 6th km local road Stip-Radovis MK",Sofilari,null,MK,http://www.imakovino.com.mk/,+389 32 308 703,"41.7016794, 22.1561355",null
"Winery ""Sarafov""",Winery,"F38M+P87, Negotino, North Macedonia",null,F38M+P87,Negotino,null,MK,null,null,"41.4667795, 22.0833099",null
"Winery ""Bovin""",Winery,"Industriska, Negotino 1440, North Macedonia",null,Industriska,Negotino,null,MK,http://www.bovin.mk/,+389 43 365 322,"41.4933002, 22.0924896","F3VR+8X Negotino, North Macedonia"
"Royal winery ""Queen Maria""",Winery,"Marshal Tito 63, 1442, North Macedonia",null,"Marshal Tito 63, 1442",null,null,MK,https://wineryqueenmaria.com/,+389 70 324 921,"41.4140987, 22.233366","C67M+J8 Demir Kapija, North Macedonia"
"Winery ""Pivka""",Winery,"107, North Macedonia",null,107,null,null,MK,http://www.winerypivka.com.mk/,+389 43 371 416,"41.4919487, 22.093001","F3RV+Q6 Negotino, North Macedonia"
"Winery ""Vardarska dolina""",Winery,"G2JC+WW6, Kurija, North Macedonia",null,G2JC+WW6,Kurija,null,MK,http://www.vardarskadolina.mk/,+389 71 320 867,"41.5322771, 22.0222751",null
"Winery ""Badi""",Winery,"Pere Toshev 3, Kavadartsi 1430, North Macedonia",null,"Pere Toshev 3, Kavadartsi 1430",Kavadarci,null,MK,https://www.instagram.com/badiwinery/?hl=en,+389 77 832 746,"41.4321479, 22.0061189","C2J4+VC Kavadarci, North Macedonia"
"Family Winery ""Peškov""",Winery,"C2G3+7HV, Kavadarci, North Macedonia",null,C2G3+7HV,Kavadarci,null,MK,null,+389 70 204 799,"41.4257426, 22.0039158",null
Domaine Lepovo,Winery,"Negotino, North Macedonia",null,null,Negotino,null,MK,http://www.domainelepovo.com/,+389 2 318 1741,"41.5176405, 22.0342244","G29M+3M Negotino, North Macedonia"
Zaharchev Winery and Distillery,Winery,"Kosovska 16, Kavadarci 1430, North Macedonia",null,Kosovska 16,Kavadarci,null,MK,https://www.zaharchev.mk/,+389 70 253 103,"41.4360468, 22.0048696","C2P3+CW Kavadarci, North Macedonia"
"Winery ""Paragon""",Winery,"G4C8+R4, Krivolak 1440, North Macedonia",null,G4C8+R4,Krivolak,null,MK,null,+389 71 302 478,"41.5220625, 22.1153125",null
"Family Winery ""Nalej""",Winery,"Timjanik 1440, North Macedonia",null,null,Timjanik,null,MK,null,+389 71 963 630,"41.4688812, 22.0836355","F39M+HF Timjanik, North Macedonia"
"Winery ""Popova kula""",Winery,"Wine Boulevard No.1, Demir Kapija 1442, North Macedonia",null,Wine Boulevard No.1,Demir Kapija,null,MK,http://www.popovakula.com.mk/,+389 76 432 630,"41.410885, 22.226565","C66G+9J Demir Kapija, North Macedonia"
"Family Winery ""Tomov""",Winery,"Timjanik 1440, North Macedonia",null,null,Timjanik,null,MK,https://family-winery-tomov.business.site/?utm_source=gmb&utm_medium=referral,+389 76 808 994,"41.4676689, 22.0844239","F39M+3Q Timjanik, North Macedonia"
Notkov Winery,Winery,"Leninova 35, Negotino, North Macedonia",null,Leninova 35,Negotino,null,MK,null,+389 71 229 766,"41.48324, 22.0946753","F3MV+7V Negotino, North Macedonia"
"Winery ""Eros""",Winery,"MK, Marshal Tito 59, Marena 1430, North Macedonia",null,"MK, Marshal Tito 59",Marena,null,MK,null,+389 71 375 795,"41.4667585, 22.0301764","F28J+P3 Marena, North Macedonia"
"Winery ""Popov""",Winery,"F2RC+JH6, Sopot, North Macedonia",null,F2RC+JH6,Sopot,null,MK,http://popovwinery.com.mk/,+389 43 551 000,"41.4915359, 22.0213826",null
